19
0 6 100 0 2.000
1 7 3 100 0 2.000
1 7 3 100 0 2.000
2 7 3 100 0 2.000
2 7 3 100 0 2.000
2 7 3 100 0 2.000
2 7 3 100 0 2.000
2 7 3 100 0 2.000
2 7 3 100 0 2.000
2 7 3 100 0 2.000
3 6 3 100 0 2.000
3 6 3 100 0 2.000
4 6 3 100 0 2.500
4 6 3 100 0 2.500
4 6 3 100 0 2.500
4 6 3 100 0 2.500
4 6 3 100 0 2.500
4 6 3 100 0 2.500
4 6 3 100 0 2.500

# Test MutiHop
# M 1-7
# N 3-6
# ----------------------------------------------
# |  Flow   |  start time | end time | duration |
# ----------------------------------------------
# |  0 - 6  |      2      |      3   |     1    |   Victim Flow
# |  1 - 7  |      2      |      3   |     1    |   M = 2
# |  2 - 7  |      2      |     2.5  |    0.5   |   M = 7 stop at 2.5
# |  3 - 6  |      2      |      3   |     1    |   N = 2
# |  4 - 6  |     2.5     |      3   |     1    |   N = 7 start at 2.5
# ----------------------------------------------
